OTUID	BacDupRt8	BacDupSoil16	BacRt25	BacRt26	BacRt27	BacRt28	BacRt29	BacRt30	BacRt31	BacRt32	BacRt33	BacRt34	BacRt35	BacRt36	BacRt37	BacRt38	BacRt39	BacRt40	BacRt41	BacRt42	BacRt43	BacRt44	BacRt45	BacRt46	BacRt47	BacRt48	BacRt49	BacRt50	BacRt51	BacRt52	BacRt53	BacRt54	BacRt55	BacRt56	BacRt57	BacRt58	BacRt59	BacRt60	BacRt61	BacRt62	BacRtNTC1	BacRtNTC2	BacRtNTC3	BacRtNTC4	BacRtNTC5	BacSoil1	BacSoil10	BacSoil11	BacSoil12	BacSoil13	BacSoil14	BacSoil15	BacSoil16	BacSoil17	BacSoil18	BacSoil19	BacSoil2	BacSoil20	BacSoil21	BacSoil22	BacSoil23	BacSoil24	BacSoil25	BacSoil26	BacSoil27	BacSoil28	BacSoil29	BacSoil3	BacSoil30	BacSoil31	BacSoil32	BacSoil33	BacSoil34	BacSoil35	BacSoil36	BacSoil37	BacSoil38	BacSoil39	BacSoil4	BacSoil40	BacSoil41	BacSoil42	BacSoil43	BacSoil44	BacSoil45	BacSoil46	BacSoil47	BacSoil48	BacSoil49	BacSoil5	BacSoil50	BacSoil51	BacSoil52	BacSoil53	BacSoil54	BacSoil55	BacSoil56	BacSoil57	BacSoil58	BacSoil59	BacSoil6	BacSoil60	BacSoil61	BacSoil62	BacSoil7	BacSoil8	BacSoil9	BacSoilNTC1	BacSoilNTC2
5863e711ae7bcef9230db6579ec3aebc	0	55	0	0	0	0	0	0	130	125	0	91	0	0	0	0	0	58	0	0	0	0	0	45	154	0	0	0	0	22	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	186	255	282	203	158	183	139	165	193	225	173	216	181	190	268	209	229	170	170	64	0	154	222	0	225	192	123	121	115	56	0	0	67	221	188	189	82	66	0	0	54	0	115	137	320	149	116	78	110	122	150	163	0	69	0	295	0	152	105	272	269	182	0	0
c072bc083f30d4f87dd5b539dfce03bd	0	0	0	54	0	0	0	104	0	0	0	0	0	20	17	214	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	153	0	18	0	0	0	36	82	26	42	103	34	84	185	41	0	0	35	0	67	82	51	77	0	0	71	0	0	0	0	29	127	50	128	206	0	0	233	33	19	40	86	36	73	225	290	686	0	0	0	382	473	260	85	27	502	738	82	0	89	43	0	664	81	346	191	109	406	217	109	55	0	526	0	0	0	0	0
764f0506c481e885c3a5d79838657896	38	40	0	27	35	0	46	41	34	40	119	23	55	59	0	0	17	37	45	23	39	90	65	47	65	43	27	39	29	0	49	0	38	62	0	50	87	54	60	0	31	33	0	0	113	65	0	96	79	71	98	160	70	82	210	84	110	79	165	101	142	157	106	245	115	87	234	229	65	169	132	137	130	158	91	69	105	86	86	92	93	102	93	113	260	0	42	147	122	151	137	229	39	70	136	100	0	70	76	100	87	146	111	132	83	0	189	0	0
eecd2585b57a36581f3f7ca431fa463d	0	28	0	0	0	4	34	44	0	85	0	188	369	340	0	0	0	25	0	0	56	0	0	680	196	95	44	0	0	0	0	0	42	0	0	175	124	137	0	0	302	135	0	0	0	0	63	204	133	0	0	0	175	75	71	0	0	0	0	217	122	91	43	0	21	0	323	0	62	98	0	43	92	336	200	50	0	0	0	120	366	95	17	56	0	65	20	82	0	56	101	0	73	252	125	27	0	0	122	122	45	83	208	60	0	0	0	0	0
013c52ccaee7a28f94330c3cc3dbd2fd	0	79	51	59	52	71	214	87	37	78	50	169	185	186	0	32	84	114	53	39	39	46	59	84	121	182	34	0	31	90	79	0	119	38	62	106	80	65	70	32	52	51	0	0	44	0	60	68	81	24	39	86	122	53	148	17	48	0	0	110	137	114	113	58	60	39	178	84	53	150	47	80	105	156	94	0	44	0	87	55	194	84	83	0	43	62	31	143	251	133	88	34	88	188	201	68	63	61	54	46	123	72	133	95	0	46	0	0	0
553823988d3ee2c82756b609d1bbb951	0	24	60	17	24	18	78	56	39	26	42	0	37	114	0	39	20	88	68	28	46	0	0	36	0	38	0	0	0	0	0	0	42	35	0	23	0	47	41	53	0	25	0	0	0	83	0	22	60	41	75	103	70	104	156	43	108	42	54	34	59	77	242	165	167	50	143	54	129	223	103	135	80	133	97	71	106	30	59	62	133	155	142	95	47	50	79	218	213	100	88	83	51	98	196	173	127	34	51	94	130	110	50	185	36	41	40	0	0
b4355483ff20358def5e33f859c52e2b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	74	0	0	0	0	84	0	0	0	0	0	0	0	72	103	0	261	251	306	0	233	118	0	158	309	180	181	188	0	131	86	191	109	301	87	115	0	127	229	0	115	0	88	0	302	451	128	0	0	320	292	231	212	98	0	443	0	0	0	0	0
ba80a06bbc8ed2e6e249a6e794cc20c2	0	27	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	52	0	0	0	46	0	20	0	0	44	48	0	85	74	0	0	0	0	0	57	51	0	41	89	0	43	0	0	0	0	0	226	51	234	568	0	0	280	50	0	43	284	0	88	272	61	309	0	140	47	293	260	238	48	0	139	302	58	50	0	93	0	216	75	34	0	167	123	198	0	320	0	327	0	0	0	0	0
e24164cb1851303bcb984c05fb5690d3	0	0	0	0	0	0	0	0	93	95	69	84	0	0	0	0	0	40	26	12	44	93	91	91	127	0	0	0	0	0	0	0	0	129	0	0	0	19	0	43	0	0	0	21	0	58	70	115	73	74	112	94	113	72	118	91	70	66	107	135	73	0	0	175	113	0	71	51	27	60	157	86	70	116	0	0	49	95	79	70	117	89	81	85	190	42	34	68	43	75	115	135	90	126	96	63	77	147	118	76	0	77	90	94	51	0	211	0	0
ec690b6998c2b4dcfd3fb626bfe3dd93	0	0	0	0	0	0	0	0	0	10	0	21	28	0	0	0	23	115	54	0	0	58	16	0	0	0	21	8	0	25	0	0	63	69	0	0	32	17	77	15	0	21	0	0	125	31	23	25	0	37	64	122	116	68	122	0	0	0	0	62	0	40	265	209	193	201	112	74	139	205	196	84	106	38	33	124	43	35	203	98	65	132	99	72	68	42	75	110	74	139	23	0	40	53	76	24	29	92	64	146	33	57	0	175	20	0	21	0	0
